DATE,CPIQOEPS Index,AHE TOTL Index,ECICCVYY Index,USURTOT Index,ZHVIACUR Index,ZRIOAYOY Index,CPIQOEPS Index_yoy,ZHVIACUR Index_yoy,ZHVIACUR Index_yoy_lagged,AHE TOTL Index_lag30m,AHE TOTL Index_lag60m,AHE TOTL Index_lag90m,CPIQOEPS Index_lag30m,CPIQOEPS Index_lag60m,CPIQOEPS Index_lag90m,ECICCVYY Index_lag30m,ECICCVYY Index_lag60m,ECICCVYY Index_lag90m,USURTOT Index_lag30m,USURTOT Index_lag60m,USURTOT Index_lag90m,ZHVIACUR Index_lag30m,ZHVIACUR Index_lag60m,ZHVIACUR Index_lag90m,ZRIOAYOY Index_lag30m,ZRIOAYOY Index_lag60m,ZRIOAYOY Index_lag90m,CPIQOEPS Index_yoy_lag30m,CPIQOEPS Index_yoy_lag60m,CPIQOEPS Index_yoy_lag90m,ZHVIACUR Index_yoy_lag30m,ZHVIACUR Index_yoy_lag60m,ZHVIACUR Index_yoy_lag90m,ZHVIACUR Index_yoy_lagged_lag30m,ZHVIACUR Index_yoy_lagged_lag60m,ZHVIACUR Index_yoy_lagged_lag90m
2010-01-01,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-02,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-03,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-09,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-10,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,,4.3,36.53,363931.6874247252,2.59164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-16,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-17,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-19,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-20,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-21,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-23,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-24,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-26,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-28,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29,,4.3,36.53,363931.6874247252,2.59164,431.272,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
